target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid,title,data_point_description,data_point_value,data_type,source_type,data_found_in_abstract,data_found_in_fulltext,source_sentence_or_location,source_table_or_figure,trace_status,extraction_method_candidate
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*,Methods/Results,Technical success: 95.8%,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: n=115/120,PMID_V3E_0031,Technical success - PROJECT_024,Technical success,95.8%,proportion,abstract,True,False,Results section: Technical success,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*,Methods/Results,30-day mortality: 2.5%,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: n=3/120,PMID_V3E_0032,30-day mortality - PROJECT_024,30-day mortality,2.5%,proportion,abstract,True,False,Results section: 30-day mortality,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*,Methods/Results,1-year survival: 78.2%,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0033,1-year survival - PROJECT_024,1-year survival,78.2%,KM,abstract,True,False,Results section: 1-year survival,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*,Methods/Results,Mean follow-up: 24 ± 8 months,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0034,Mean follow-up - PROJECT_024,Mean follow-up,24 ± 8 months,followup,abstract,True,False,Results section: Mean follow-up,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*,Methods/Results,Hemodynamic improvement: 82.4%,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: n=42/51,PMID_V3E_0035,Hemodynamic improvement - PROJECT_030,Hemodynamic improvement,82.4%,proportion,abstract,True,False,Results section: Hemodynamic improvement,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*,Methods/Results,PAP reduction: -15.2 ± 8.4 mmHg,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0036,PAP reduction - PROJECT_030,PAP reduction,-15.2 ± 8.4 mmHg,mean_sd,abstract,True,False,Results section: PAP reduction,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*,Methods/Results,Improvement 95% CI: 68.5–91.4%,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0037,Improvement 95% CI - PROJECT_030,Improvement 95% CI,68.5–91.4%,CI,abstract,True,False,Results section: Improvement 95% CI,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*,Methods/Results,Access site complication: 4 cases,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0038,Access site complication - PROJECT_030,Access site complication,4 cases,AE_count,abstract,True,False,Results section: Access site complication,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_011,Project 011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*,Methods/Results,Harris Hip Score: 86.4 ± 12.3,extracted_from_report,medium,calibration_only,yes,Device type: orthopaedic_implant; detail: None,PMID_V3E_0039,Harris Hip Score - PROJECT_011,Harris Hip Score,86.4 ± 12.3,mean_sd,abstract,True,False,Results section: Harris Hip Score,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_011,Project 011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*,Methods/Results,Implant survival: 96.2%,extracted_from_report,medium,calibration_only,yes,Device type: orthopaedic_implant; detail: n=101/105,PMID_V3E_0040,Implant survival - PROJECT_011,Implant survival,96.2%,proportion,abstract,True,False,Results section: Implant survival,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_011,Project 011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*,Methods/Results,Follow-up duration: 5 years,extracted_from_report,medium,calibration_only,yes,Device type: orthopaedic_implant; detail: None,PMID_V3E_0041,Follow-up duration - PROJECT_011,Follow-up duration,5 years,followup,abstract,True,False,Results section: Follow-up duration,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_011,Project 011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*,Methods/Results,Revision surgery: 4 cases (3.8%),extracted_from_report,medium,calibration_only,yes,Device type: orthopaedic_implant; detail: None,PMID_V3E_0042,Revision surgery - PROJECT_011,Revision surgery,4 cases (3.8%),AE_severity,abstract,True,False,Results section: Revision surgery,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*,Methods/Results,Hemostasis success: 94.4%,extracted_from_report,medium,calibration_only,yes,Device type: surgical_instrument; detail: n=34/36,PMID_V3E_0043,Hemostasis success - PROJECT_016,Hemostasis success,94.4%,proportion,abstract,True,False,Results section: Hemostasis success,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*,Methods/Results,Device abandonment: 5.6%,extracted_from_report,medium,calibration_only,yes,Device type: surgical_instrument; detail: n=2/36,PMID_V3E_0044,Device abandonment - PROJECT_016,Device abandonment,5.6%,proportion,abstract,True,False,Results section: Device abandonment,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*,Methods/Results,Time to hemostasis: 2.1 ± 1.3 min,extracted_from_report,medium,calibration_only,yes,Device type: surgical_instrument; detail: None,PMID_V3E_0045,Time to hemostasis - PROJECT_016,Time to hemostasis,2.1 ± 1.3 min,mean_sd,abstract,True,False,Results section: Time to hemostasis,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*,Methods/Results,Hemostasis in coagulopathy: 85.7%,extracted_from_report,medium,calibration_only,yes,Device type: surgical_instrument; detail: n=6/7,PMID_V3E_0046,Hemostasis in coagulopathy - PROJECT_016,Hemostasis in coagulopathy,85.7%,subgroup,abstract,True,False,Results section: Hemostasis in coagulopathy,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_021,Project 021,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_021_*,Methods/Results,Technical success: 92.0%,extracted_from_report,medium,holdout_only,no,Device type: cardiovascular; detail: n=46/50,PMID_V3E_0047,Technical success - PROJECT_021,Technical success,92.0%,proportion,abstract,True,False,Results section: Technical success,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_021,Project 021,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_021_*,Methods/Results,Procedure time: 52.3 ± 22.1 min,extracted_from_report,medium,holdout_only,no,Device type: cardiovascular; detail: None,PMID_V3E_0048,Procedure time - PROJECT_021,Procedure time,52.3 ± 22.1 min,mean_sd,abstract,True,False,Results section: Procedure time,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_021,Project 021,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_021_*,Methods/Results,Follow-up: 12 months,extracted_from_report,medium,holdout_only,no,Device type: cardiovascular; detail: None,PMID_V3E_0049,Follow-up - PROJECT_021,Follow-up,12 months,followup,abstract,True,False,Results section: Follow-up,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_037,Project 037,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*,Methods/Results,Primary patency: 88.5%,extracted_from_report,medium,holdout_only,no,Device type: cardiovascular; detail: n=46/52,PMID_V3E_0050,Primary patency - PROJECT_037,Primary patency,88.5%,proportion,abstract,True,False,Results section: Primary patency,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_037,Project 037,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*,Methods/Results,Restenosis HR: 0.78,extracted_from_report,medium,holdout_only,no,Device type: cardiovascular; detail: 95% CI 0.52–1.17,PMID_V3E_0051,Restenosis HR - PROJECT_037,Restenosis HR,0.78,HR,abstract,True,False,Results section: Restenosis HR,Table 1,verified,llm_hybrid
