target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,NB_question_or_deficiency,challenged_strategy_route,challenged_evidence_gap,company_response_summary,accepted_or_not,final_resolution,lesson_for_system,NB_explainability_need
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/NB_feedback/*,NB Feedback,NB: Core efficacy claim unsupported by evidence...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: CI required before approval; device deve...,Core efficacy claim unsupported by evidence,insufficient_evidence,No efficacy data in target population,Proposed PMCF-only approach rejected,no,CI required before approval; device development halted,System must block unsupported core claims,Explain why unsupported claims cannot proceed
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_026,Project 026,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/NB_feedback/*,NB Feedback,NB: Literature search strategy incomplete...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Complete search strategy accepted...,Literature search strategy incomplete,literature_primary,Missing Embase and Cochrane searches,Added comprehensive database search,yes,Complete search strategy accepted,System should validate search strategy completeness,Explain required databases and search terms
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,DERIVED_VALIDATION,PROJECT_034,Project 034,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/NB_feedback/*,NB Feedback,NB: Vigilance comparison with predicate insufficient...,NB_feedback_explicit,high,holdout_only,no,Resolution: Vigilance comparison accepted...,Vigilance comparison with predicate insufficient,equivalence,Vigilance data not systematically compared,Added systematic vigilance comparison,yes,Vigilance comparison accepted,System should require vigilance comparison for equivalence,Explain vigilance comparison methodology
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,DERIVED_VALIDATION,PROJECT_037,Project 037,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/NB_feedback/*,NB Feedback,NB: Restenosis mechanism not explained...,NB_feedback_explicit,high,holdout_only,no,Resolution: Mechanistic explanation accepted as part...,Restenosis mechanism not explained,own_clinical_data,No mechanistic explanation for restenosis,Added bench testing and literature review,partial,Mechanistic explanation accepted as partial,System should flag missing mechanistic explanations,Explain mechanistic evidence requirements
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_016,Project 016,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/NB_feedback/*,NB Feedback,NB: Device abandonment classified incorrectly as AE...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Correct classification accepted...,Device abandonment classified incorrectly as AE,WET,Endpoint taxonomy error in CER,Reclassified as treatment_failure with justification,yes,Correct classification accepted,System should validate endpoint taxonomy,Explain endpoint classification rules
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,DERIVED_VALIDATION,PROJECT_041,Project 041,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*/NB_feedback/*,NB Feedback,NB: Operative time claim lacks comparator...,NB_feedback_explicit,high,holdout_only,no,Resolution: Literature benchmark accepted...,Operative time claim lacks comparator,WET,No benchmark for operative time reduction,Added literature benchmark,yes,Literature benchmark accepted,System should require benchmarks for performance claims,Explain benchmark requirements for WET claims
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_030,Project 030,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/NB_feedback/*,NB Feedback,NB: Hemodynamic improvement definition unclear...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Consistent definition accepted...,Hemodynamic improvement definition unclear,own_clinical_data,Endpoint definition inconsistent across sections,Standardized endpoint definition,yes,Consistent definition accepted,System should check endpoint definition consistency,Explain endpoint definition requirements
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_038,Project 038,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_038_*/NB_feedback/*,NB Feedback,NB: Diagnostic accuracy claim based on non-representative popula...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Indication narrowed to matching populati...,Diagnostic accuracy claim based on non-representative population,literature_primary,Literature population does not match intended use,Added population matching analysis and limitation,partial,Indication narrowed to matching population,System should validate population matching for literature,Explain population matching requirements
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,DERIVED_VALIDATION,PROJECT_021,Project 021,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_021_*/NB_feedback/*,NB Feedback,NB: Company response not addressing NB core concern...,NB_feedback_explicit,high,holdout_only,no,Resolution: Additional CI required...,Company response not addressing NB core concern,own_clinical_data,Response superficial,N/A - no adequate response,no,Additional CI required,System should evaluate response adequacy,Explain adequate response requirements
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_006,Project 006,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_*/NB_feedback/*,NB Feedback,NB: Technical comparison table missing key parameters...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Complete comparison accepted...,Technical comparison table missing key parameters,equivalence,Incomplete technical comparison,Added comprehensive technical comparison table,yes,Complete comparison accepted,System should validate 3-dim comparison completeness,Explain technical comparison requirements
