extract_id,source_csv,source_row_id,target_batch,target_P0,target_route,target_artifact,absorption_type,closure_level_supported,can_train_rules,can_generate_fixture,can_generate_semantic_test,can_validate_holdout,can_generate_writer_constraint,can_generate_NB_explanation,writer_allowed,locked_boundary,source_asset_path,notes
V4I1_0011,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_11,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0012,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_12,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0013,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_13,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0014,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_14,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0015,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_15,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0016,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_16,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0017,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_17,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0018,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_18,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0019,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_19,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0020,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_20,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0021,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_21,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I2_0022,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_1,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0023,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_2,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0024,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_3,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0025,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_4,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0026,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_5,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0027,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_6,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0028,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_7,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0029,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_8,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0030,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_9,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0031,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_10,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0032,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_11,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0033,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_12,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0034,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_13,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0035,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_14,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4I2_0036,I2_EVIDENCE_BURDEN_FACTORS.csv,ROW_15,I,P0-2,cross_route,evidence_burden_score,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,no,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I2_EVIDENCE_BURDEN_FACTORS.csv,Evidence burden scoring
V4J1_0037,J1_LITERATURE_ROLE_CASES.csv,ROW_1,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0038,J1_LITERATURE_ROLE_CASES.csv,ROW_2,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0039,J1_LITERATURE_ROLE_CASES.csv,ROW_3,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0040,J1_LITERATURE_ROLE_CASES.csv,ROW_4,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0041,J1_LITERATURE_ROLE_CASES.csv,ROW_5,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0042,J1_LITERATURE_ROLE_CASES.csv,ROW_6,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0043,J1_LITERATURE_ROLE_CASES.csv,ROW_7,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0044,J1_LITERATURE_ROLE_CASES.csv,ROW_8,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0045,J1_LITERATURE_ROLE_CASES.csv,ROW_9,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0046,J1_LITERATURE_ROLE_CASES.csv,ROW_10,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0047,J1_LITERATURE_ROLE_CASES.csv,ROW_11,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0048,J1_LITERATURE_ROLE_CASES.csv,ROW_12,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0049,J1_LITERATURE_ROLE_CASES.csv,ROW_13,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0050,J1_LITERATURE_ROLE_CASES.csv,ROW_14,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0051,J1_LITERATURE_ROLE_CASES.csv,ROW_15,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0052,J1_LITERATURE_ROLE_CASES.csv,ROW_16,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0053,J1_LITERATURE_ROLE_CASES.csv,ROW_17,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0054,J1_LITERATURE_ROLE_CASES.csv,ROW_18,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0055,J1_LITERATURE_ROLE_CASES.csv,ROW_19,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0056,J1_LITERATURE_ROLE_CASES.csv,ROW_20,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0057,J1_LITERATURE_ROLE_CASES.csv,ROW_21,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0058,J1_LITERATURE_ROLE_CASES.csv,ROW_22,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0059,J1_LITERATURE_ROLE_CASES.csv,ROW_23,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0060,J1_LITERATURE_ROLE_CASES.csv,ROW_24,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0061,J1_LITERATURE_ROLE_CASES.csv,ROW_25,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0062,J1_LITERATURE_ROLE_CASES.csv,ROW_26,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0063,J1_LITERATURE_ROLE_CASES.csv,ROW_27,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0064,J1_LITERATURE_ROLE_CASES.csv,ROW_28,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0065,J1_LITERATURE_ROLE_CASES.csv,ROW_29,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4J1_0066,J1_LITERATURE_ROLE_CASES.csv,ROW_30,J,P0-3,cross_route,literature_role_classifier,semantic_test,HEURISTIC_ONLY,yes,yes,yes,yes,no,no,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_J_literature_intelligence/J1_LITERATURE_ROLE_CASES.csv,Literature role classifier
V4K1_0067,K1_ROUTE_SPECIFIC_CER_BLUEPRINT_EXAMPLES.csv,ROW_1,K,P0-4,cross_route,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,yes,yes,no,no,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_K_strategy_blueprints/K1_ROUTE_SPECIFIC_CER_BLUEPRINT_EXAMPLES.csv,CER blueprint
V4K1_0068,K1_ROUTE_SPECIFIC_CER_BLUEPRINT_EXAMPLES.csv,ROW_2,K,P0-4,cross_route,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,yes,yes,no,no,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_K_strategy_blueprints/K1_ROUTE_SPECIFIC_CER_BLUEPRINT_EXAMPLES.csv,CER blueprint
