target_batch,target_capability,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_table_or_figure,source_quote_or_cell,evidence_level,confidence,locked_status,writer_access_allowed,absorption_type,closure_level_supported,notes,source_table_id,row_label,column_label,cell_value,interpreted_fact,endpoint,study_arm,population_label,subgroup_label,numerator,denominator,timepoint,unit,verification_status
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_379__SOTA-P1-32.pdf,,,(1–4),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_032,auto_extracted_row,auto_extracted_col,(1–4),ci_range,safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_540__SOTA-P1-29.pdf,,,(2–5),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_033,auto_extracted_row,auto_extracted_col,(2–5),ci_range,survival/mortality; safety/AE,,N=10,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_373__SOTA-P2-6.pdf,,,p < 0.001,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_034,auto_extracted_row,auto_extracted_col,p < 0.001,p_value,endpoint_unknown,,patients; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_328__SOTA-P1-24.pdf,,,p < 0.001,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_037,auto_extracted_row,auto_extracted_col,p < 0.001,p_value,endpoint_unknown,,patients; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_328__SOTA-P1-24.pdf,,,p = 0.013,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_037,auto_extracted_row,auto_extracted_col,p = 0.013,p_value,endpoint_unknown,,patients; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_545__SOTA-P1-32.pdf,,,P<0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_038,auto_extracted_row,auto_extracted_col,P<0.05,p_value,safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_545__SOTA-P1-32.pdf,,,(1–4),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_038,auto_extracted_row,auto_extracted_col,(1–4),ci_range,safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_261__SOTA-P1-46.pdf,,,P.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_040,auto_extracted_row,auto_extracted_col,P.,p_value,survival/mortality; safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_261__SOTA-P1-46.pdf,,,P.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_040,auto_extracted_row,auto_extracted_col,P.,p_value,survival/mortality; safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_380__SOTA-P1-40.pdf,,,P < .0001,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_042,auto_extracted_row,auto_extracted_col,P < .0001,p_value,endpoint_unknown,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_380__SOTA-P1-40.pdf,,,P < .0001,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_042,auto_extracted_row,auto_extracted_col,P < .0001,p_value,endpoint_unknown,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_331__SOTA-P1-32.pdf,,,P<0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_043,auto_extracted_row,auto_extracted_col,P<0.05,p_value,safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_331__SOTA-P1-32.pdf,,,(1–4),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_043,auto_extracted_row,auto_extracted_col,(1–4),ci_range,safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_289__SOTA-P2-60.pdf,,,P < .0001,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_044,auto_extracted_row,auto_extracted_col,P < .0001,p_value,safety/AE,,patients; prospective; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_275__SOTA-P3-64.pdf,,,2.33% (1/43),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_045,auto_extracted_row,auto_extracted_col,2.33% (1/43),proportion_with_denominator,safety/AE; complication; procedure_time,,patients; RCT,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_275__SOTA-P3-64.pdf,,,2.33% (1/43),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_045,auto_extracted_row,auto_extracted_col,2.33% (1/43),proportion_with_denominator,safety/AE; complication; procedure_time,,patients; RCT,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_060__SOTA-P2-04 Electrosurgery  part II  Technology, applications, and safety of electrosurgical devices.pdf",,,P.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_061,auto_extracted_row,auto_extracted_col,P.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_190__SOTA-P2-04 Electrosurgery  part II  Technology, applications, and safety of electrosurgical devices.pdf",,,P.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_062,auto_extracted_row,auto_extracted_col,P.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_147__Richter 等 - 2009 - Randomized clinical trial of efficacy and costs of.pdf,,,P = 0,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_063,auto_extracted_row,auto_extracted_col,P = 0,p_value,survival/mortality; efficacy; safety/AE; complication,,N=121; RCT; prospective; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_147__Richter 等 - 2009 - Randomized clinical trial of efficacy and costs of.pdf,,,P = 0,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_063,auto_extracted_row,auto_extracted_col,P = 0,p_value,survival/mortality; efficacy; safety/AE; complication,,N=121; RCT; prospective; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_148__Sheikh - 2004 - Safety and efficacy of electrocautery scalpel util.pdf,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_064,auto_extracted_row,auto_extracted_col,p.,p_value,efficacy; safety/AE; complication,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_148__Sheikh - 2004 - Safety and efficacy of electrocautery scalpel util.pdf,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_064,auto_extracted_row,auto_extracted_col,p.,p_value,efficacy; safety/AE; complication,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_171__Li 等 - 2021 - Safety and Effectiveness Outcomes of a Novel Steri.pdf,,,P<0.01,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_065,auto_extracted_row,auto_extracted_col,P<0.01,p_value,survival/mortality; efficacy; safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_206__SOTA-P1-10.pdf,,,P.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_066,auto_extracted_row,auto_extracted_col,P.,p_value,survival/mortality; efficacy; safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_206__SOTA-P1-10.pdf,,,P.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_066,auto_extracted_row,auto_extracted_col,P.,p_value,survival/mortality; efficacy; safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_075__SOTA-P4-08.pdf,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_067,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_075__SOTA-P4-08.pdf,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_067,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_091__SOTA-E4-10.pdf,,,p<0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_068,auto_extracted_row,auto_extracted_col,p<0.05,p_value,efficacy; safety/AE; complication,,N=15; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_091__SOTA-E4-10.pdf,,,p>0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_068,auto_extracted_row,auto_extracted_col,p>0.05,p_value,efficacy; safety/AE; complication,,N=15; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_059__SOTA-P4-33.pdf,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_069,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE; complication,,patients; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_254__SOTA-C1-06.pdf,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_070,auto_extracted_row,auto_extracted_col,p.,p_value,endpoint_unknown,,patients; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_254__SOTA-C1-06.pdf,,,p=0,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_070,auto_extracted_row,auto_extracted_col,p=0,p_value,endpoint_unknown,,patients; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_239__SOTA-P6-10.pdf,,,(3-5),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_071,auto_extracted_row,auto_extracted_col,(3-5),ci_range,survival/mortality; safety/AE; complication; QoL,,patients; RCT; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_239__SOTA-P6-10.pdf,,,(7-11),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_071,auto_extracted_row,auto_extracted_col,(7-11),ci_range,survival/mortality; safety/AE; complication; QoL,,patients; RCT; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_227__SOTA-E4-10.pdf,,,p<0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_072,auto_extracted_row,auto_extracted_col,p<0.05,p_value,efficacy; safety/AE; complication,,N=15; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_227__SOTA-E4-10.pdf,,,p>0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_072,auto_extracted_row,auto_extracted_col,p>0.05,p_value,efficacy; safety/AE; complication,,N=15; RCT; prospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_115__SOTA-P4-63.pdf,,,18% (4/22),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_074,auto_extracted_row,auto_extracted_col,18% (4/22),proportion_with_denominator,safety/AE,,patients; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_115__SOTA-P4-63.pdf,,,41% (9/22),extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_074,auto_extracted_row,auto_extracted_col,41% (9/22),proportion_with_denominator,safety/AE,,patients; retrospective,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_176__2.1 Annex I Literature search protocol and report - SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_076,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益/01_CER_SOURCE_PACKAGE/CER/CER_052__2.1 Annex I Literature search protocol and report - SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_017_077,auto_extracted_row,auto_extracted_col,p.,p_value,efficacy; safety/AE,,unknown,,,,,,auto_extracted_unverified
