target_batch,target_capability,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_table_or_figure,source_quote_or_cell,evidence_level,confidence,locked_status,writer_access_allowed,absorption_type,closure_level_supported,notes,file_type,table_id_or_title,page_or_section,table_title,table_footnote,contains_clinical_data,contains_statistical_values,contains_endpoint_data,contains_AE_data,contains_denominator_context,contains_subgroup_context,contains_followup_context,extraction_priority,expected_parser,manual_verification_needed
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_017__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_011,first_5_pages,CER_017__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1159__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_012,first_5_pages,CER_1159__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,yes,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_271__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_013,first_5_pages,CER_271__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_283__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_014,first_5_pages,CER_283__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1012__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_015,first_5_pages,CER_1012__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_348__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_016,full_document,CER_348__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,no,yes,no,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_280__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_017,full_document,CER_280__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1008__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_018,full_document,CER_1008__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_498__[20241205] Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_019,full_document,CER_498__[20241205] Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,yes,yes,yes,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_423__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_020,full_document,CER_423__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,yes,yes,yes,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_933__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_021,full_document,CER_933__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,no,yes,no,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_241__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_022,full_document,CER_241__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1219__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_023,full_document,CER_1219__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,no,yes,no,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_542__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_024,full_document,CER_542__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,yes,yes,yes,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_404__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_025,full_document,CER_404__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_419__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_026,full_document,CER_419__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,yes,yes,yes,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_245__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_027,full_document,CER_245__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_690__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_028,full_document,CER_690__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,yes,yes,yes,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_021__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_029,full_document,CER_021__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1003__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_003_030,full_document,CER_1003__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,yes,yes,yes,yes,yes,yes,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_061__7 Clinical Outcomes After..pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_031,first_5_pages,CER_061__7 Clinical Outcomes After..pdf,,yes,no,yes,yes,yes,yes,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_379__SOTA-P1-32.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_032,first_5_pages,CER_379__SOTA-P1-32.pdf,,yes,yes,no,yes,no,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_540__SOTA-P1-29.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_033,first_5_pages,CER_540__SOTA-P1-29.pdf,,yes,yes,no,yes,yes,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_373__SOTA-P2-6.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_034,first_5_pages,CER_373__SOTA-P2-6.pdf,,yes,yes,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_286__SOTA-P2-61.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_035,first_5_pages,CER_286__SOTA-P2-61.pdf,,yes,no,yes,yes,yes,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_542__SOTA-P3-25.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_036,first_5_pages,CER_542__SOTA-P3-25.pdf,,yes,no,no,yes,no,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_328__SOTA-P1-24.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_037,first_5_pages,CER_328__SOTA-P1-24.pdf,,yes,yes,no,no,yes,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_545__SOTA-P1-32.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_038,first_5_pages,CER_545__SOTA-P1-32.pdf,,yes,yes,no,yes,no,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_251__SOTA-P1-59.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_039,first_5_pages,CER_251__SOTA-P1-59.pdf,,yes,no,no,yes,no,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_261__SOTA-P1-46.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_040,first_5_pages,CER_261__SOTA-P1-46.pdf,,yes,yes,yes,yes,no,yes,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_533__SOTA-P2-19.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_041,first_5_pages,CER_533__SOTA-P2-19.pdf,,yes,no,no,no,yes,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_380__SOTA-P1-40.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_042,first_5_pages,CER_380__SOTA-P1-40.pdf,,yes,yes,no,no,no,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_331__SOTA-P1-32.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_043,first_5_pages,CER_331__SOTA-P1-32.pdf,,yes,yes,no,yes,no,no,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_289__SOTA-P2-60.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_044,first_5_pages,CER_289__SOTA-P2-60.pdf,,yes,yes,no,yes,yes,yes,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_275__SOTA-P3-64.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_016_045,first_5_pages,CER_275__SOTA-P3-64.pdf,,yes,yes,no,yes,no,yes,yes,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_350__CE.TCR05-1701 Clinical evaluation plan_0411.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_016_046,full_document,CER_350__CE.TCR05-1701 Clinical evaluation plan_0411.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_157__17-02 CE.TCR05-1702 Clinical Evaluation Report.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_016_047,full_document,CER_157__17-02 CE.TCR05-1702 Clinical Evaluation Report.docx,,yes,no,yes,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_160__17-02 CE.TCR05-1702 Clinical Evaluation Report.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_016_048,full_document,CER_160__17-02 CE.TCR05-1702 Clinical Evaluation Report.docx,,yes,no,yes,yes,yes,no,yes,high,python-docx,yes
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_240__CE.TC03-14-01_Clinical evaluation plan.docx,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,DOCX,T_016_049,full_document,CER_240__CE.TC03-14-01_Clinical evaluation plan.docx,,yes,no,no,yes,yes,no,yes,high,python-docx,yes
